#{"t_start": 1787330953.0356958, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,438.71218
-100.0,100,439.360368
-100.0,100,440.051278
-100.0,100,440.713381
-100.0,100,441.386457
-100.0,100,442.02665
-100.0,100,442.677522
-100.0,100,443.341486
-100.0,100,443.947271
-100.0,100,444.551644
-100.0,100,445.182522
-100.0,100,445.88144
-100.0,100,446.534549
-100.0,100,447.212974
-100.0,100,447.869847
-100.0,100,448.509692
-100.0,100,449.148964
-100.0,100,449.839115
-100.0,100,450.491979
-100.0,100,451.147928
-100.0,100,451.808828
-100.0,100,452.412673
-100.0,100,453.09527
-100.0,100,453.656336
-100.0,100,454.252037
-100.0,100,454.828162
-100.0,100,455.412755
-100.0,100,456.006477
-100.0,100,456.585181
-100.0,100,458.463447
-100.0,100,458.936528
-100.0,100,459.462214
-99.0,100,460.011206
-100.0,100,460.577304
-100.0,100,461.143319
-100.0,100,461.713908
-100.0,100,462.31274
-100.0,100,462.917696
-100.0,100,463.556147
-100.0,100,464.222558
-100.0,100,464.905737
-100.0,100,465.498266
-100.0,100,466.502262
-100.0,100,467.139558
-100.0,100,467.737501
-100.0,100,468.400171
-100.0,100,468.994237
-100.0,100,469.604501
-100.0,100,470.262232
-100.0,100,470.96413
-100.0,100,471.621687
-97.0,100,472.243376
-100.0,100,472.894221
-100.0,100,473.544674
-100.0,100,474.19377
-100.0,100,474.786519
-100.0,100,475.373361
-99.0,100,475.954282
-99.0,100,476.553174
-100.0,100,477.150975
-100.0,100,477.824153
-100.0,100,478.411529
-100.0,100,479.028682
-100.0,100,479.692194
-96.0,100,480.31921
-100.0,100,480.959841
-100.0,100,481.571991
-100.0,100,482.227488
-100.0,100,482.909723
-100.0,100,483.590485
-100.0,100,485.707924
-100.0,100,486.233186
-100.0,100,486.779927
-100.0,100,487.359361
-100.0,100,487.938203
-100.0,100,488.505912
-100.0,100,489.12104
-100.0,100,489.74281
-100.0,100,490.406529
-100.0,100,491.174381
-100.0,100,491.867243
-100.0,100,492.453937
-100.0,100,493.026129
-100.0,100,493.588066
-100.0,100,494.169055
-100.0,100,494.761738
-100.0,100,495.36702
-100.0,100,495.956486
-100.0,100,496.565414
-100.0,100,497.165411
-100.0,100,497.785153
-100.0,100,498.454897
-100.0,100,499.093147
-100.0,100,499.83523
-100.0,100,500.47289
-100.0,100,501.099444
-100.0,100,501.729515
-100.0,100,502.315885
-100.0,100,502.892869
-100.0,100,503.489347
-100.0,100,504.139774
-100.0,100,504.750645
-100.0,100,505.342841
-100.0,100,506.021654
-100.0,100,506.635628
-100.0,100,507.244189
-100.0,100,507.887482
-100.0,100,508.492191
-100.0,100,509.15528
-100.0,100,509.825069
-100.0,100,510.495448
-100.0,100,512.593303
-99.0,100,513.103925
-100.0,100,513.670228
-100.0,100,514.238988
-100.0,100,514.811412
-100.0,100,515.370804
-100.0,100,515.948798
-100.0,100,516.538882
-100.0,100,517.237115
-100.0,100,517.837898
-98.0,100,518.505039
-100.0,100,519.17699
-100.0,100,519.821497
-100.0,100,520.431745
-100.0,100,521.018
-100.0,100,521.614121
-100.0,100,522.231626
-100.0,100,522.898721
-100.0,100,523.49946
-100.0,100,524.175
-100.0,100,524.851407
-100.0,100,525.46274
-100.0,100,526.064117
-100.0,100,526.693755
-100.0,100,527.35795
-100.0,100,527.947297
-100.0,100,528.579015
-100.0,100,529.191903
-100.0,100,529.83965
-100.0,100,530.458154
-100.0,100,531.060398
-100.0,100,531.664312
-100.0,100,532.31465
-100.0,100,532.908567
-100.0,100,533.506449
-100.0,100,534.11078
-100.0,100,534.746169
-100.0,100,535.373349
-100.0,100,535.97464
-100.0,100,536.655092
-100.0,100,537.322465
-100.0,100,539.364431
-100.0,100,539.87669
-100.0,100,540.424346
-100.0,100,540.991761
-98.0,100,541.57758
-100.0,100,542.136324
-100.0,100,542.702085
-100.0,100,543.273205
-100.0,100,543.863049
-100.0,100,544.436194
-100.0,100,545.030849
-100.0,100,545.675085
-100.0,100,546.268313
-98.0,100,546.871705
-100.0,100,547.472478
-98.0,100,548.159554
-100.0,100,548.825926
-100.0,100,549.410415
-100.0,100,549.985799
-100.0,100,550.577365
-100.0,100,551.203002
-100.0,100,551.811739
-100.0,100,552.47197
-100.0,100,553.092744
-100.0,100,553.744965
-100.0,100,554.370648
-100.0,100,554.95837
-100.0,100,555.563797
-100.0,100,556.16151
-100.0,100,556.758
-100.0,100,557.453218
-100.0,100,558.069631
-100.0,100,558.708709
-100.0,100,559.356682
-100.0,100,560.018927
-95.0,100,560.661837
-100.0,100,561.315904
-100.0,100,561.970447
-100.0,100,562.605455
-100.0,100,563.236207
-100.0,100,563.902792
-100.0,100,566.004598
-100.0,100,566.532367
-100.0,100,567.087678
-100.0,100,567.693564
-100.0,100,568.31937
-100.0,100,568.934802
-100.0,100,569.521369
-96.0,100,570.137079
-100.0,100,570.735094
-98.0,100,571.377017
-100.0,100,571.981974
-100.0,100,572.579101
-97.0,100,573.286445
-100.0,100,573.891525
-100.0,100,574.521176
-100.0,100,575.166584
-100.0,100,575.79677
-100.0,100,576.405546
-100.0,100,577.008098
-100.0,100,577.599269
-100.0,100,578.26388
-100.0,100,578.861995
-100.0,100,579.507936
-100.0,100,580.131377
-100.0,100,580.762665
-100.0,100,581.401699
-100.0,100,582.028696
-100.0,100,582.616309
-100.0,100,583.201521
-100.0,100,583.794611
-100.0,100,584.426148
-100.0,100,585.113961
-100.0,100,585.726785
-100.0,100,586.38646
-100.0,100,587.025268
-100.0,100,587.6748
-100.0,100,588.301581
-100.0,100,588.877929
-100.0,100,589.455008
-100.0,100,590.06848
-100.0,100,590.670453
-100.0,100,592.755577
-100.0,100,593.266998
-100.0,100,593.809265
-100.0,100,594.358833
-100.0,100,594.932064
-100.0,100,595.532266
-100.0,100,596.139038
-100.0,100,596.731706
-100.0,100,597.331065
-100.0,100,597.92068
-100.0,100,598.572809
-100.0,100,599.191295
-100.0,100,599.777663
-100.0,100,600.438759
-100.0,100,601.023151
-100.0,100,601.606913
-100.0,100,602.188818
-100.0,100,602.789216
-95.0,100,603.406779
-100.0,100,603.990149
-100.0,100,604.656497
-100.0,100,605.301035
-100.0,100,605.968324
-100.0,100,606.604261
-100.0,100,607.20558
-100.0,100,607.790302
-100.0,100,608.372273
-100.0,100,608.960747
-100.0,100,609.554942
-100.0,100,610.150489
-100.0,100,610.743922
-100.0,100,611.407342
-96.0,100,612.006852
-100.0,100,612.582942
-100.0,100,613.17065
-100.0,100,613.823662
-100.0,100,614.468737
-100.0,100,615.104274
-100.0,100,615.725807
-100.0,100,616.316117
-100.0,100,616.90245
-100.0,100,618.883071
-100.0,100,619.486407
-100.0,100,620.053157
-75.0,100,620.627106
-100.0,100,621.200353
-100.0,100,621.805204
-100.0,100,622.400641
-100.0,100,623.005259
-100.0,100,623.646096
-100.0,100,624.297581
-100.0,100,624.923427
-100.0,100,625.597003
-100.0,100,626.269185
-100.0,100,626.951066
-100.0,100,627.550174
-100.0,100,628.143687
-100.0,100,628.787487
-100.0,100,629.734322
-100.0,100,630.36112
-100.0,100,630.991274
-100.0,100,631.704814
-100.0,100,632.381441
-100.0,100,633.040874
-100.0,100,633.702147
-100.0,100,634.355464
-100.0,100,634.968796
-100.0,100,635.566696
-100.0,100,636.205178
-100.0,100,636.840821
-100.0,100,637.461598
-100.0,100,638.113363
-100.0,100,638.817758
-100.0,100,639.470927
-100.0,100,640.087003
-100.0,100,640.704056
-100.0,100,641.346946
-100.0,100,641.967242
-100.0,100,642.6228
-100.0,100,643.250398
-100.0,100,643.859712
-100.0,100,644.473817
-100.0,100,646.513384
-100.0,100,647.014008
-100.0,100,647.552521
-97.0,100,648.124292
-100.0,100,648.690006
-100.0,100,649.269366
-100.0,100,649.860018
-100.0,100,650.484493
-100.0,100,651.109561
-100.0,100,651.749508
-100.0,100,652.389117
-100.0,100,652.976894
-100.0,100,653.566292
-100.0,100,654.167061
-100.0,100,654.782983
-100.0,100,655.408752
-100.0,100,656.029858
-99.0,100,656.621196
-100.0,100,657.215237
-100.0,100,657.812606
-100.0,100,658.408517
-100.0,100,659.072587
-100.0,100,659.680026
-95.0,100,660.279408
-100.0,100,660.888544
-96.0,100,661.503359
-100.0,100,662.125762
-100.0,100,662.7221
-100.0,100,663.33953
-100.0,100,663.969812
-100.0,100,664.611279
-100.0,100,665.259507
-100.0,100,665.982175
-100.0,100,666.70109
-100.0,100,667.331258
-100.0,100,667.928661
-100.0,100,668.532218
-100.0,100,669.158743
-100.0,100,669.768632
-100.0,100,670.390559
-100.0,100,672.519797
-100.0,100,673.016415
-100.0,100,673.537683
-100.0,100,674.084743
-100.0,100,674.680376
-100.0,100,675.264994
-100.0,100,675.86358
-100.0,100,676.46195
-100.0,100,677.052262
-100.0,100,677.666023
-100.0,100,678.285933
-100.0,100,678.905274
-100.0,100,679.596446
-100.0,100,680.218822
-100.0,100,680.808103
-100.0,100,681.421798
-100.0,100,682.023667
-100.0,100,682.616009
-100.0,100,683.217787
-97.0,100,683.8409
-100.0,100,684.467796
-100.0,100,685.066865
-100.0,100,685.668543
-100.0,100,686.273698
-100.0,100,686.97844
-100.0,100,687.611863
-97.0,100,688.232988
-100.0,100,688.840231
-100.0,100,689.442251
-100.0,100,690.111334
-100.0,100,690.747011
-100.0,100,691.352088
-100.0,100,692.002083
-100.0,100,692.68908
-100.0,100,693.346828
-100.0,100,693.974743
-100.0,100,694.588622
-100.0,100,695.246361
-100.0,100,695.901896
-100.0,100,696.527814
-99.0,100,697.144332
-100.0,100,699.266398
-100.0,100,699.772762
-99.0,100,700.289313
-100.0,100,700.839787
-100.0,100,701.433248
-100.0,100,702.02795
-100.0,100,702.629245
-100.0,100,703.226682
-100.0,100,703.806922
-100.0,100,704.401255
-99.0,100,705.081411
-100.0,100,705.702451
-100.0,100,706.338043
-100.0,100,706.987003
-100.0,100,707.595284
-100.0,100,708.223539
-100.0,100,708.82314
-100.0,100,709.4453
-100.0,100,710.094242
-100.0,100,710.730784
-93.0,100,711.341134
-100.0,100,712.008584
-100.0,100,712.675347
-100.0,100,713.310148
-100.0,100,713.946427
-100.0,100,714.601423
-100.0,100,715.246974
-100.0,100,715.886722
-94.0,100,716.481184
-100.0,100,717.086316
-100.0,100,717.703172
-100.0,100,718.333215
-100.0,100,718.973524
-100.0,100,719.635421
-100.0,100,720.262204
-100.0,100,720.860145
-100.0,100,721.468941
-100.0,100,722.101557
-100.0,100,722.718549
-100.0,100,723.338512
-100.0,100,723.984877
