#{"t_start": 1787305788.601611, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-13.0,100,977.525904
-100.0,100,978.991272
-100.0,100,980.583352
-100.0,100,982.094188
-69.0,100,983.43656
-100.0,100,984.922913
-100.0,100,986.333565
-100.0,100,987.96529
-100.0,100,989.536409
-83.0,100,991.102911
-100.0,100,992.510737
-100.0,100,993.978424
-14.0,100,995.488921
-100.0,100,997.000577
-100.0,100,998.673626
-100.0,100,1000.19612
-100.0,100,1001.604752
-100.0,100,1003.132061
-100.0,100,1004.499848
-100.0,100,1006.191658
-100.0,100,1007.951847
-100.0,100,1009.504426
-100.0,100,1010.909767
-100.0,100,1012.315506
-100.0,100,1013.70119
-100.0,100,1015.221696
-100.0,100,1016.793266
-100.0,100,1018.31235
-100.0,100,1019.685679
-100.0,100,1021.221477
-100.0,100,1022.495219
-100.0,100,1023.93749
-100.0,100,1025.309134
-100.0,100,1026.819969
-68.0,100,1028.399108
-100.0,100,1029.798033
-100.0,100,1031.21268
-100.0,100,1032.580869
-100.0,100,1034.309523
-99.0,100,1035.947188
-100.0,100,1037.466001
0.0,100,1038.85102
-100.0,100,1040.298971
-100.0,100,1041.704199
-100.0,100,1043.159301
-100.0,100,1044.765761
-100.0,100,1046.374711
-38.0,100,1047.966339
-100.0,100,1049.458356
-63.0,100,1051.171366
-100.0,100,1052.918422
-100.0,100,1054.497783
-72.0,100,1056.011739
-100.0,100,1057.353926
-100.0,100,1058.923708
-100.0,100,1060.483728
-88.0,100,1061.882469
-100.0,100,1063.336447
-100.0,100,1064.898566
-100.0,100,1066.340048
-100.0,100,1067.63222
-100.0,100,1069.003415
-100.0,100,1070.529928
-17.0,100,1072.046453
-100.0,100,1073.48298
-100.0,100,1075.05631
-78.0,100,1076.479518
-100.0,100,1077.962225
-33.0,100,1079.550285
-100.0,100,1081.015383
-100.0,100,1082.439377
-100.0,100,1083.957614
-100.0,100,1085.347294
-100.0,100,1086.63749
-100.0,100,1087.9846
-100.0,100,1089.602495
-100.0,100,1091.109328
-100.0,100,1092.50289
-100.0,100,1094.03272
-100.0,100,1095.415938
-100.0,100,1096.947674
-100.0,100,1098.524296
-100.0,100,1100.071344
-88.0,100,1101.62415
-100.0,100,1103.076962
-100.0,100,1104.526708
-49.0,100,1105.967896
-43.0,100,1107.758759
-100.0,100,1109.33564
-100.0,100,1110.739353
-100.0,100,1112.249153
-99.0,100,1113.649258
-100.0,100,1115.148911
