#{"t_start": 1787311566.162663, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,1334.398131
-100.0,100,1335.833818
-100.0,100,1337.395135
-4.0,100,1338.937272
-100.0,100,1340.33865
-100.0,100,1341.80516
-76.0,100,1343.097605
-100.0,100,1344.54442
-35.0,100,1346.074106
-100.0,100,1347.458093
-100.0,100,1348.995881
-3.0,100,1350.416181
-100.0,100,1351.840886
-60.0,100,1353.26808
-97.0,100,1354.628303
-60.0,100,1356.07631
-100.0,100,1357.498641
-100.0,100,1359.269321
-100.0,100,1360.825675
-100.0,100,1363.780526
-100.0,100,1365.361497
-73.0,100,1366.863321
-100.0,100,1368.360755
-6.0,100,1369.938419
-32.0,100,1371.390002
-100.0,100,1372.776983
-52.0,100,1374.228979
-3.0,100,1375.69532
-100.0,100,1377.242246
-33.0,100,1378.746603
-41.0,100,1380.098809
-100.0,100,1381.658916
-100.0,100,1383.116986
-100.0,100,1384.532604
-100.0,100,1386.076106
-100.0,100,1387.522469
-100.0,100,1388.970142
-100.0,100,1390.414804
-100.0,100,1391.796773
-87.0,100,1393.342724
-100.0,100,1394.741255
-2.0,100,1396.310159
-48.0,100,1397.70214
-100.0,100,1399.066571
-24.0,100,1400.352474
-100.0,100,1401.87288
-100.0,100,1403.377787
-100.0,100,1404.980183
-100.0,100,1406.550853
-100.0,100,1407.979883
-4.0,100,1409.44943
-7.0,100,1410.720458
0.0,100,1412.261537
-4.0,100,1413.84233
-100.0,100,1415.360883
-3.0,100,1416.825734
-100.0,100,1418.273247
-100.0,100,1419.650321
-100.0,100,1421.163569
-41.0,100,1422.568674
-34.0,100,1424.092533
-100.0,100,1425.530378
-95.0,100,1426.974561
-100.0,100,1428.546588
-100.0,100,1429.955738
-3.0,100,1431.504659
-77.0,100,1433.05386
-100.0,100,1434.569832
-71.0,100,1435.993616
-100.0,100,1437.481131
-100.0,100,1438.847365
-23.0,100,1440.685449
-100.0,100,1442.230364
-100.0,100,1443.682212
-100.0,100,1444.90885
-100.0,100,1446.184799
